INSTNM,SAT_AVG_2012,ADM_RATE_2012,UGDS_2012,CONTROL_2012,COSTT4_A_2012,C150_4_2012,PREDDEG_2012,CITY,STABBR
Alabama A & M University,847,0.5438,4081,1,17351,0.3222,3,Normal,AL
University of Alabama at Birmingham,1107,0.7223,11014,1,20441,0.4815,3,Birmingham,AL
Amridge University,NULL,NULL,338,2,11420,0,3,Montgomery,AL
University of Alabama in Huntsville,1162,0.7766,5703,1,19687,0.4732,3,Huntsville,AL
Alabama State University,827,0.4604,5123,1,17533,0.2635,3,Montgomery,AL
The University of Alabama,1172,0.5308,27364,1,23939,0.6655,3,Tuscaloosa,AL
Central Alabama Community College,NULL,NULL,1898,1,6726,NULL,2,Alexander City,AL
Athens State University,NULL,NULL,3250,1,NULL,NULL,3,Athens,AL
Auburn University at Montgomery,1050,0.7395,4119,1,15594,0.3004,3,Montgomery,AL
Auburn University,1217,0.7723,20137,1,22352,0.6827,3,Auburn University,AL
Birmingham Southern College,1164,0.6522,1226,2,40957,0.6552,3,Birmingham,AL
Chattahoochee Valley Community College,NULL,NULL,1645,1,6740,NULL,2,Phenix City,AL
Concordia College Alabama,NULL,NULL,611,2,17730,0.0912,2,Selma,AL
South University-Montgomery,NULL,0.7397,704,3,28156,0.15,2,Montgomery,AL
Enterprise State Community College,NULL,NULL,2166,1,9988,NULL,2,Enterprise,AL
James H Faulkner State Community College,NULL,NULL,4212,1,11195,NULL,2,Bay Minette,AL
Faulkner University,NULL,NULL,2528,2,26908,0.3317,3,Montgomery,AL
Gadsden State Community College,NULL,NULL,5600,1,11091,NULL,2,Gadsden,AL
New Beginning College of Cosmetology,NULL,NULL,108,3,NULL,NULL,1,Albertville,AL
George C Wallace State Community College-Dothan,NULL,NULL,4227,1,7878,NULL,2,Dothan,AL
George C Wallace State Community College-Hanceville,NULL,NULL,4960,1,13603,NULL,2,Hanceville,AL
George C Wallace State Community College-Selma,NULL,NULL,1671,1,15257,NULL,2,Selma,AL
Herzing University-Birmingham,NULL,0.8222,295,3,26737,0.4386,2,Birmingham,AL
Huntingdon College,996,0.6054,1103,2,30655,0.4673,3,Montgomery,AL
Heritage Christian University,NULL,NULL,62,2,21087,0,3,Florence,AL
J F Drake State Community and Technical College,NULL,NULL,959,1,12169,NULL,1,Huntsville,AL
Jacksonville State University,1038,0.8232,7654,1,18748,0.2857,3,Jacksonville,AL
Jefferson Davis Community College,NULL,NULL,1034,1,9781,NULL,2,Brewton,AL
Jefferson State Community College,NULL,NULL,7862,1,13162,NULL,2,Birmingham,AL
John C Calhoun State Community College,NULL,NULL,8690,1,9372,NULL,2,Tanner,AL
Judson College,987,0.8155,346,2,26925,0.3731,3,Marion,AL
Lawson State Community College-Birmingham Campus,NULL,NULL,3224,1,12430,NULL,1,Birmingham,AL
University of West Alabama,970,0.4856,2089,1,16609,0.3438,3,Livingston,AL
Lurleen B Wallace Community College,NULL,NULL,1440,1,13241,NULL,2,Andalusia,AL
Marion Military Institute,1060,0.6737,378,1,18120,NULL,2,Marion,AL
Miles College,NULL,NULL,1687,2,20688,0.1534,3,Fairfield,AL
University of Mobile,1054,0.8035,1542,2,28778,0.4266,3,Mobile,AL
University of Montevallo,1070,0.7772,2588,1,18858,0.4701,3,Montevallo,AL
Northwest-Shoals Community College,NULL,NULL,3231,1,8783,NULL,2,Muscle Shoals,AL
University of North Alabama,990,0.8847,5723,1,13940,0.3229,3,Florence,AL
Northeast Alabama Community College,NULL,NULL,2750,1,7650,NULL,2,Rainsville,AL
Oakwood University,918,0.3169,1947,2,33441,0.3821,3,Huntsville,AL
Alabama Southern Community College,NULL,NULL,1181,1,10630,NULL,2,Monroeville,AL
Prince Institute Southeast,NULL,NULL,122,3,24957,NULL,1,Montgomery,AL
Reid State Technical College,NULL,NULL,455,1,9013,NULL,1,Evergreen,AL
Bishop State Community College,NULL,NULL,3362,1,9987,NULL,2,Mobile,AL
Samford University,1172,0.7563,2948,2,36895,0.7143,3,Birmingham,AL
Selma University,NULL,NULL,465,2,10490,0.4492,3,Selma,AL
Shelton State Community College,NULL,NULL,4932,1,13133,NULL,2,Tuscaloosa,AL
Snead State Community College,NULL,NULL,2208,1,10645,NULL,2,Boaz,AL
University of South Alabama,1047,0.8719,11054,1,15805,0.3683,3,Mobile,AL
Spring Hill College,1090,0.4743,1165,2,41156,0.6174,3,Mobile,AL
Southeastern Bible College,890,1,179,2,17721,0.3333,3,Birmingham,AL
Stillman College,857,0.4095,1019,2,25548,0.2518,3,Tuscaloosa,AL
Talladega College,NULL,NULL,1203,2,18302,0.2529,3,Talladega,AL
H Councill Trenholm State Technical College,NULL,NULL,1398,1,10070,NULL,1,Montgomery,AL
Troy University,990,0.6229,17765,1,16721,0.3445,3,Troy,AL
Tuskegee University,915,0.6451,2605,2,31805,0.4593,3,Tuskegee,AL
United States Sports Academy,NULL,NULL,109,2,NULL,NULL,3,Daphne,AL
Bevill State Community College,NULL,NULL,3471,1,13965,NULL,2,Jasper,AL
University of Alaska Anchorage,NULL,NULL,13200,1,14431,0.2561,3,Anchorage,AK
Alaska Bible College,NULL,NULL,33,2,10730,0.5,1,Glennallen,AK
University of Alaska Fairbanks,NULL,NULL,5756,1,15568,0.3093,3,Fairbanks,AK
University of Alaska Southeast,NULL,NULL,1536,1,14267,0.1079,2,Juneau,AK
Alaska Pacific University,951,0.6323,436,2,40883,0.5179,3,Anchorage,AK
AVTEC-Alaska's Institute of Technology,NULL,0.5745,1011,1,NULL,NULL,1,Seward,AK
Charter College-Anchorage,NULL,NULL,1259,3,23557,0.3357,1,Anchorage,AK
Prince William Sound Community College,NULL,NULL,159,1,8700,NULL,1,Valdez,AK
Alaska Career College,NULL,NULL,228,3,NULL,NULL,1,Anchorage,AK
Everest College Phoenix,NULL,NULL,1578,3,22400,0.3639,2,Phoenix,AZ
Collins College,NULL,NULL,589,3,27315,0.3802,3,Phoenix,AZ
Empire Beauty School-Paradise Valley,NULL,NULL,74,3,NULL,NULL,1,Phoenix,AZ
Empire Beauty School-Tucson,NULL,NULL,164,3,NULL,NULL,1,Tucson,AZ
Thunderbird School of Global Management,NULL,NULL,3,2,NULL,NULL,1,Glendale,AZ
American Indian College of the Assemblies of God Inc,NULL,NULL,73,2,21742,0.4167,3,Phoenix,AZ
American Institute of Technology,NULL,NULL,474,3,NULL,NULL,1,Phoenix,AZ
Carrington College-Phoenix,NULL,1,560,3,NULL,0.6501,1,Phoenix,AZ
Carrington College-Mesa,NULL,1,685,3,NULL,NULL,1,Mesa,AZ
Carrington College-Tucson,NULL,1,399,3,NULL,NULL,1,Tucson,AZ
College America-Flagstaff,NULL,NULL,255,3,26461,0.4667,2,Flagstaff,AZ
Arizona Academy of Beauty-East,NULL,NULL,54,3,NULL,NULL,1,Tucson,AZ
Arizona Automotive Institute,NULL,NULL,726,3,NULL,NULL,1,Glendale,AZ
Brookline College-Phoenix,NULL,NULL,1186,3,NULL,0.5652,1,Phoenix,AZ
Arizona State University,1105,0.8891,59183,1,21537,0.5683,3,Tempe,AZ
Arizona Western College,NULL,NULL,7442,1,13804,NULL,1,Yuma,AZ
University of Arizona,1099,0.7139,31217,1,23153,0.6128,3,Tucson,AZ
Southwest University of Visual Arts-Tucson,NULL,NULL,263,3,44876,0.8333,3,Tucson,AZ
Brillare Hairdressing Academy,NULL,NULL,166,3,NULL,NULL,1,Scottsdale,AZ
Central Arizona College,NULL,NULL,5833,1,9439,NULL,2,Coolidge,AZ
Brown Mackie College-Tucson,NULL,NULL,784,3,24687,0.4324,2,Tucson,AZ
Charles of Italy Beauty College,NULL,NULL,78,3,NULL,NULL,1,Lake Havasu City,AZ
Cochise College,NULL,NULL,3775,1,8811,NULL,1,Douglas,AZ
Empire Beauty School-Flagstaff,NULL,NULL,59,3,NULL,NULL,1,Flagstaff,AZ
Empire Beauty School-Chandler,NULL,NULL,123,3,NULL,NULL,1,Chandler,AZ
Cortiva Institute-Tucson,NULL,NULL,140,3,NULL,NULL,1,Tucson,AZ
DeVry University-Arizona,NULL,0.8131,1418,3,29286,0.3395,3,Phoenix,AZ
Avalon School of Cosmetology-Mesa,NULL,NULL,312,3,NULL,NULL,1,Mesa,AZ
Eastern Arizona College,NULL,NULL,5071,1,10656,NULL,1,Thatcher,AZ
Embry-Riddle Aeronautical University-Prescott,1142,0.8234,1669,2,44052,0.5509,3,Prescott,AZ
Frank Lloyd Wright School of Architecture,NULL,NULL,3,2,NULL,NULL,3,Scottsdale,AZ
Glendale Community College,NULL,NULL,15667,1,11347,NULL,1,Glendale,AZ
Grand Canyon University,NULL,0.3237,30890,3,30235,0.3134,3,Phoenix,AZ
Anthem College-Phoenix,NULL,NULL,1856,3,NULL,0.4607,2,Phoenix,AZ
International Academy of Hair Design,NULL,NULL,228,3,NULL,NULL,1,Mesa,AZ
Kaplan College-Phoenix,NULL,NULL,392,3,NULL,NULL,1,Phoenix,AZ
GateWay Community College,NULL,NULL,5996,1,12465,NULL,1,Phoenix,AZ
Mesa Community College,NULL,NULL,21042,1,11955,NULL,2,Mesa,AZ
ITT Technical Institute-Tucson,NULL,0.8327,460,3,26988,0.1803,2,Tucson,AZ
ITT Technical Institute-Tempe,NULL,0.9171,575,3,27239,0.3279,2,Tempe,AZ
Mohave Community College,NULL,NULL,4791,1,23883,NULL,1,Kingman,AZ
Universal Technical Institute-Motorcycle Mechanics Institute Division,NULL,NULL,2594,3,NULL,NULL,1,Phoenix,AZ
Dine College,NULL,NULL,1907,1,11459,0.052,2,Tsaile,AZ
Northern Arizona University,1053,0.7632,21627,1,22686,0.4915,3,Flagstaff,AZ
Northland Pioneer College,NULL,NULL,1716,1,11670,NULL,1,Holbrook,AZ
Ottawa University-Phoenix,NULL,NULL,399,2,NULL,NULL,3,Phoenix,AZ
Phoenix College,NULL,NULL,9383,1,12029,NULL,1,Phoenix,AZ
Cortiva Institute-Scottsdale,NULL,NULL,115,3,NULL,NULL,1,Scottsdale,AZ
University of Phoenix-Phoenix Campus,NULL,NULL,3704,3,23612,0.1502,3,Tempe,AZ
Pima Community College,NULL,NULL,29300,1,7803,NULL,1,Tucson,AZ
Pima Medical Institute-Tucson,NULL,NULL,1811,3,NULL,0.713,1,Tucson,AZ
Pima Medical Institute-Albuquerque,NULL,NULL,942,3,NULL,NULL,1,Albuquerque,NM
Prescott College,1090,0.8147,671,2,38249,0.4464,3,Prescott,AZ
Refrigeration School Inc,NULL,NULL,632,3,NULL,NULL,1,Phoenix,AZ
