INSTNM,SAT_AVG,ADM_RATE,UGDS,CONTROL,COSTT4_A,C150_4,PREDDEG,CITY,STABBR
Alabama A & M University,823,0.8989,4051,1,18888,0.2914,3,Normal,AL
University of Alabama at Birmingham,1146,0.8673,11200,1,19990,0.5377,3,Birmingham,AL
Amridge University,NULL,NULL,322,2,12300,0.6667,3,Montgomery,AL
University of Alabama in Huntsville,1180,0.8062,5525,1,20306,0.4835,3,Huntsville,AL
Alabama State University,830,0.5125,5354,1,17400,0.2517,3,Montgomery,AL
The University of Alabama,1171,0.5655,28692,1,26717,0.6665,3,Tuscaloosa,AL
Central Alabama Community College,NULL,NULL,1779,1,12103,NULL,2,Alexander City,AL
Athens State University,NULL,NULL,2999,1,NULL,NULL,3,Athens,AL
Auburn University at Montgomery,970,0.8371,4322,1,16556,0.2705,3,Montgomery,AL
Auburn University,1215,0.8274,19761,1,23788,0.6792,3,Auburn University,AL
Birmingham Southern College,1177,0.6422,1181,2,44512,0.6192,3,Birmingham,AL
Chattahoochee Valley Community College,NULL,NULL,1769,1,6800,NULL,2,Phenix City,AL
Concordia College Alabama,NULL,NULL,523,2,17655,0.2115,3,Selma,AL
South University-Montgomery,NULL,0.4366,599,3,28525,0.0784,2,Montgomery,AL
Enterprise State Community College,NULL,NULL,1984,1,10193,NULL,2,Enterprise,AL
James H Faulkner State Community College,NULL,NULL,4182,1,11921,NULL,2,Bay Minette,AL
Faulkner University,NULL,NULL,2358,2,28485,0.2287,3,Montgomery,AL
Gadsden State Community College,NULL,NULL,5480,1,10247,NULL,2,Gadsden,AL
New Beginning College of Cosmetology,NULL,NULL,89,3,NULL,NULL,1,Albertville,AL
George C Wallace State Community College-Dothan,NULL,NULL,4293,1,8140,NULL,2,Dothan,AL
George C Wallace State Community College-Hanceville,NULL,NULL,4904,1,10822,NULL,2,Hanceville,AL
George C Wallace State Community College-Selma,NULL,NULL,1604,1,14835,NULL,2,Selma,AL
Herzing University-Birmingham,NULL,0.7234,318,3,26656,0.1778,1,Birmingham,AL
Huntingdon College,999,0.6279,1100,2,31433,0.4319,3,Montgomery,AL
Heritage Christian University,NULL,NULL,67,2,21160,0,3,Florence,AL
J F Drake State Community and Technical College,NULL,NULL,1040,1,12217,NULL,1,Huntsville,AL
Jacksonville State University,1036,0.8326,7195,1,19202,0.3083,3,Jacksonville,AL
Jefferson Davis Community College,NULL,NULL,1037,1,9149,NULL,2,Brewton,AL
Jefferson State Community College,NULL,NULL,7494,1,12943,NULL,2,Birmingham,AL
John C Calhoun State Community College,NULL,NULL,9970,1,9829,NULL,2,Tanner,AL
Judson College,1023,0.7388,331,2,27815,0.4051,3,Marion,AL
Lawson State Community College-Birmingham Campus,NULL,NULL,2894,1,12602,NULL,1,Birmingham,AL
University of West Alabama,950,0.9957,1988,1,17959,0.3161,3,Livingston,AL
Lurleen B Wallace Community College,NULL,NULL,1372,1,13204,NULL,1,Andalusia,AL
Marion Military Institute,1040,0.6034,411,1,16520,NULL,2,Marion,AL
Miles College,NULL,NULL,1663,2,21336,0.216,3,Fairfield,AL
University of Mobile,1058,0.7125,1472,2,30108,0.4904,3,Mobile,AL
